A_abrv,B_abrv,A365,D365,B365,A_betWay,D_betWay,B_betWay,A_bovada,D_bovada,B_bovada,A_home,B_home,A_goal,B_goal,A_possess,B_possess,A_ontarget,B_ontarget,A_attack,B_attack,A_foul,B_foul,A_yc,B_yc,A_rc,B_rc,A_rank,B_rank
FRA,ROU,1.36,5,11,1.3,4.75,14,1.39,4.15,8,0,0,2,1,53,47,4,1,65,57,5,13,1,3,0,0,17,22
ALB,SUI,5.25,3.2,1.9,5,3.1,1.91,5.25,3.25,1.8,0.5,0.5,0,1,44,56,4,6,54,72,8,16,5,2,1,0,42,15
WAL,SVK,3.1,3,2.7,2.9,2.88,2.8,3,3,2.65,0.5,0.5,2,1,46,54,6,2,72,66,16,15,0,5,0,0,26,24
ENG,RUS,1.8,3.6,5.25,1.8,3.6,5.25,1.69,3.6,5.5,0.5,0.5,1,1,53,47,6,2,65,80,9,14,1,1,0,0,11,29
TUR,CRO,4.2,3.3,2.05,4,3.4,2.05,4,3.4,1.95,0.5,0.5,0,1,48,52,2,4,48,62,14,14,3,1,0,0,18,27
POL,NIR,1.75,3.5,6,1.75,3.5,5.75,1.65,3.6,6,0.5,0.5,1,0,64,36,3,0,55,47,9,12,2,1,0,0,27,25
GER,UKR,1.53,4.2,7.5,1.57,4,6,1.53,4,6,0.5,0.5,2,0,66,34,7,3,62,40,9,9,0,1,0,0,4,19
ESP,CZE,1.44,4.5,9,1.44,4.5,8.5,1.38,4.5,9.5,0.5,0.5,1,0,69,31,8,4,70,45,10,11,0,1,0,0,6,30
IRL,SWE,3.75,3.1,2.35,3.6,3.1,2.3,3.75,3.15,2.15,0.5,0.5,1,1,45,55,3,3,65,52,10,14,2,1,0,0,33,35
BEL,ITA,2.7,3,3.1,2.75,3,3,2.5,3,3.1,0.5,0.5,0,2,61,39,2,5,51,48,10,12,1,4,0,0,2,12
AUT,HUN,1.7,3.7,6,1.7,3.6,6,1.67,3.6,5.5,0.5,0.5,0,2,55,45,3,5,61,53,10,15,2,1,1,0,10,20
POR,ISL,1.4,4.75,10,1.4,4.8,9,1.36,4.65,9.5,0.5,0.5,1,1,71,29,8,3,66,51,9,16,0,2,0,0,8,34
RUS,SVK,2.4,3.2,3.4,2.35,3.2,3.4,2.3,3.1,3.4,0.5,0.5,1,2,65,35,3,2,97,48,9,12,0,1,0,0,29,24
ROU,SUI,3.6,3.1,2.35,3.5,3.1,2.38,3.5,3.1,2.25,0.5,0.5,1,1,39,61,4,6,64,78,23,10,4,2,0,0,22,15
FRA,ALB,1.25,6,17,1.25,5.75,17,1.22,6,15,1,0,2,0,66,34,0,2,76,54,13,12,1,2,0,0,17,42
ENG,WAL,1.66,3.8,6,1.62,3.8,6.5,1.57,3.85,6.5,0.5,0.5,2,1,68,32,4,2,75,52,10,9,0,1,0,0,11,26
UKR,NIR,1.75,3.4,6.25,1.75,3.4,6,1.69,3.4,6,0.5,0.5,0,2,66,34,5,4,80,63,14,14,2,3,0,0,19,25
GER,POL,1.57,4.2,6.5,1.57,4.2,5.75,1.54,3.9,5.5,0.5,0.5,0,0,64,36,5,0,78,63,13,9,3,3,0,0,4,27
ITA,SWE,2,3.1,5,2.05,3.1,4.5,1.91,3.15,4.75,0.5,0.5,1,0,45,55,2,0,51,49,13,13,2,1,0,0,12,35
CZE,CRO,4.5,3.2,2.05,5,3.3,2,4.55,3.3,1.91,0.5,0.5,2,2,43,57,2,3,49,54,15,12,1,3,0,0,30,27
ESP,TUR,1.5,4,9,1.5,4,8.5,1.44,4.2,8.5,0.5,0.5,3,0,58,42,3,0,69,67,14,12,1,2,0,0,6,18
BEL,IRL,1.85,3.4,5.25,1.73,3.6,5.25,1.67,3.6,5.7,0.5,0.5,3,0,56,44,5,2,64,59,7,9,1,1,0,0,2,33
ISL,HUN,2.75,3.1,3,2.63,3,3.1,2.7,2.9,3,0.5,0.5,1,1,33,67,2,6,63,82,13,14,3,3,0,0,34,20
POR,AUT,1.66,3.8,6,1.73,3.75,5.5,1.61,3.9,5.75,0.5,0.5,0,0,64,36,9,2,76,59,14,11,2,4,0,0,8,10
SUI,FRA,6,3,1.9,5.5,2.95,1.95,6.5,3,1.77,0,1,0,0,53,47,0,6,81,63,8,10,0,2,0,0,15,17
ROU,ALB,2.05,3.5,3.9,2.05,3.5,3.9,1.95,3.6,3.85,0.5,0.5,0,1,62,38,3,5,79,60,13,13,3,3,0,0,22,42
SVK,ENG,5.75,3.2,1.85,5.5,3.25,1.85,5.75,3.4,1.71,0.5,0.5,0,0,35,65,2,7,48,71,7,11,1,1,0,0,24,11
RUS,WAL,2.7,3.1,3,2.6,3.2,3,2.65,3.1,2.85,0.5,0.5,0,3,51,49,2,8,64,55,9,6,1,1,0,0,29,26
UKR,POL,4.75,3.3,1.95,4.75,3.25,1.95,5,3.5,1.91,0.5,0.5,0,1,65,35,5,2,64,52,21,12,2,1,0,0,19,27
NIR,GER,15,5.25,1.3,12,5,1.33,12,5.25,1.29,0.5,0.5,0,1,29,71,1,9,51,73,9,7,,,0,0,25,4
CRO,ESP,5.25,3.1,1.95,5,3,2,5.5,3.1,1.83,0.5,0.5,2,1,38,62,2,3,67,80,9,11,4,0,0,0,27,6
CZE,TUR,2.37,3.6,3.1,2.38,3.5,3.1,2.3,3.35,3.15,0.5,0.5,0,2,58,42,7,0,69,74,15,14,3,2,0,0,30,18
HUN,POR,9.5,3.9,1.5,9,3.75,1.53,9,4,1.45,0.5,0.5,3,3,35,65,2,4,44,68,15,7,4,0,0,0,20,8
ISL,AUT,3.7,3.2,2.25,3.5,3.2,2.3,3.4,3.2,2.25,0.5,0.5,2,1,30,70,1,6,48,76,8,10,4,1,0,0,34,10
ITA,IRL,2.3,3.1,3.75,2.25,3.1,3.75,2.2,3.2,3.5,0.5,0.5,0,1,44,56,1,5,56,74,20,18,4,2,0,0,12,33
SWE,BEL,5,3.3,1.9,4.75,3.4,1.9,5.25,3.4,1.77,0.5,0.5,0,1,48,52,4,7,66,57,9,15,2,2,0,0,35,2